date,ticker,action
2002-08-21,VTSS,removed
2002-09-03,COC.B,removed
2002-09-04,RAI,added
2002-12-12,DGX,added
2002-12-12,TRW,removed
2003-02-21,RATL,removed
2003-02-24,AN,added
2003-03-14,AAMRQ,removed
2003-03-14,AIV,added
2003-03-21,EHC,removed
2003-03-21,MKC,added
2003-03-31,HI,removed
2003-03-31,SYMC,added
2003-04-16,FII,added
2003-04-16,PHA,removed
2003-07-17,MIR,removed
2003-07-17,PLD,added
2003-08-20,MDR,removed
2003-08-20,MHS,added
2003-09-26,ESRX,added
2003-09-26,QTRN,removed
2003-11-13,BGEN,removed
2003-11-13,BIIB,added
2004-02-27,CE,removed
2004-02-27,MTB,added
2004-03-25,CMX,added
2004-03-25,TUP,removed
2004-04-01,ETFC,added
2004-04-01,FBF,removed
2004-04-02,ACS,added
2004-04-23,MYL,added
2004-04-23,PCS,removed
2004-04-29,JHF,removed
2004-04-29,VLO,added
2004-05-03,AM,removed
2004-05-03,HSP,added
2004-07-01,GILD,added
2004-07-01,ONE,removed
2004-07-01,SOV,added
2004-07-01,UPC,removed
2004-08-03,FSH,added
2004-08-03,TNB,removed
2004-09-01,CF,removed
2004-09-01,TPR,added
2004-10-27,AWE,removed
2004-10-27,CITGQ,added
2004-11-01,LH,added
2004-11-01,SOTR,removed
2004-12-01,LLL,added
2004-12-01,WLP,removed
2004-12-03,FSL,added
2004-12-03,WNDXQ,removed
2004-12-20,ASN,added
2004-12-20,CBSS,added
2004-12-20,CR,removed
2004-12-20,DLX,removed
2004-12-20,FOXA,added
2004-12-20,WOR,removed
2004-12-29,PSFT,removed
2004-12-29,XTO,added
2005-03-14,NOV,added
2005-03-14,PWER,removed
2005-03-28,SHLD,added
2005-07-05,DHI,added
2005-07-05,GLK,removed
2005-07-05,STZ,added
2005-07-05,VRTS,removed
2005-07-22,TOY,removed
2005-07-22,WFT,added
2005-08-11,TSN,added
2005-08-11,UCL,removed
2005-08-12,SDS,removed
2005-08-12,VNO,added
2005-08-15,MUR,added
2005-08-15,NXTL,removed
2005-08-19,DALRQ,removed
2005-08-19,PSA,added
2005-08-29,MAY,removed
2005-08-30,CVH,added
2005-10-03,AMP,added
2005-10-03,G,removed
2005-10-03,PVN,removed
2005-10-04,LEN,added
2005-10-11,DPHIQ,removed
2005-10-11,PDCO,added
2005-11-21,AMZN,added
2005-12-02,CPNLQ,removed
2005-12-02,GNW,added
2005-12-20,GP,removed
2005-12-20,SSP,added
2006-01-03,KRB,removed
2006-01-03,VIAB,added
2006-01-03,VSTNQ,removed
2006-01-03,WFM,added
2006-01-04,MERQ,removed
2006-01-05,EL,added
2006-02-01,HAR,added
2006-02-01,RBK,removed
2006-02-01,SEBL,removed
2006-02-01,VRSN,added
2006-02-27,BRL,added
